filename,width,height,class,xmin,ymin,xmax,ymax,angle
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1075.jpg,440,114,gun,78,51,299,108,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1075.jpg,440,114,gun,1,17,276,78,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1077.jpg,850,478,gun,39,110,796,419,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1079.jpg,1299,709,pistol,290,113,927,579,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1080.jpg,253,199,gun,78,74,129,101,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1082.jpg,728,410,gun,73,93,653,305,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1084.jpg,900,600,gun,84,188,867,484,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1086.jpg,277,182,gun,79,54,275,159,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1087.jpg,300,168,gun,143,92,236,106,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1088.jpg,299,168,gun,32,38,268,126,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1093.jpg,275,183,gun,160,108,224,144,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1094.jpg,209,241,gun,65,48,95,131,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W11.jpg,259,194,pistol,27,62,68,83,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1102.jpg,371,136,gun,104,35,357,76,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1105.jpg,640,360,gun,171,137,433,203,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1106.jpg,303,166,gun,146,74,300,123,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1109.jpg,408,230,gun,135,186,279,217,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1111.jpg,297,170,gun,29,51,185,123,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1113.jpg,1300,980,pistol,419,103,1182,605,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1115.jpg,299,168,gun,53,49,284,95,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1117.jpg,259,194,gun,9,96,233,188,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W112.jpg,275,183,pistol,37,73,263,173,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1121.jpg,275,183,gun,26,57,263,150,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1122.jpg,275,183,gun,175,74,263,107,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1122.jpg,275,183,gun,96,87,150,110,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1124.jpg,259,194,gun,84,34,255,76,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1126.jpg,970,545,gun,7,167,964,450,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1128.jpg,353,143,pistol,222,37,270,69,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1131.jpg,280,180,pistol,4,83,78,126,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1132.jpg,660,400,gun,129,62,553,226,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1134.jpg,271,186,gun,33,56,239,104,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1135.jpg,275,183,gun,31,92,224,144,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1135.jpg,275,183,gun,63,70,208,97,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1136.jpg,195,258,pistol,122,20,150,64,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1137.jpg,183,276,gun,13,69,100,121,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1138.jpg,748,468,gun,201,177,563,326,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1139.jpg,286,176,gun,90,35,171,55,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1140.jpg,300,168,gun,11,38,282,162,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1143.jpg,318,159,gun,58,55,280,120,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1144.jpg,254,198,gun,64,52,207,72,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1145.jpg,299,168,gun,89,63,222,104,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1148.jpg,259,195,gun,29,48,258,104,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W115.jpg,285,177,pistol,32,8,252,167,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1151.jpg,275,183,gun,44,50,260,124,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1152.jpg,300,168,gun,40,46,129,80,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1152.jpg,300,168,gun,148,28,232,62,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1156.jpg,299,168,gun,59,64,266,121,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1157.jpg,310,162,pistol,76,44,113,70,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1160.jpg,344,146,gun,44,60,251,115,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1164.jpg,276,182,gun,98,95,257,141,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1167.jpg,300,168,gun,41,45,249,122,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1174.jpg,300,168,gun,4,33,297,145,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1176.jpg,3000,1818,gun,1024,518,2655,1018,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1179.jpg,276,183,gun,23,49,167,112,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W118.jpg,300,168,gun,3,95,233,137,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W118.jpg,300,168,gun,6,19,225,89,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1181.jpg,259,194,gun,32,91,214,124,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1182.jpg,308,164,gun,44,28,298,97,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1183.jpg,275,183,gun,71,37,213,73,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1184.jpg,430,497,gun,141,103,188,286,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1185.jpg,600,338,gun,104,135,583,269,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1189.jpg,1170,610,gun,221,167,996,559,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1190.jpg,852,480,gun,159,134,814,274,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1192.jpg,278,181,gun,8,60,202,172,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1200.jpg,3216,2136,gun,187,894,998,1273,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1205.jpg,2100,1395,gun,653,675,2064,1025,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1210.jpg,800,533,gun,86,243,799,450,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1210.jpg,800,533,gun,246,184,799,256,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1212.jpg,600,400,gun,17,195,519,351,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1212.jpg,600,400,gun,17,27,588,170,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1214.jpg,3840,2160,gun,932,538,2424,1025,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1215.jpg,1862,1048,gun,17,194,766,381,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1216.jpg,602,375,gun,88,153,498,283,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1219.jpg,800,534,gun,181,175,733,421,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W122.jpg,300,168,pistol,121,47,293,126,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1223.jpg,696,391,gun,75,164,618,264,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W123.jpg,275,183,gun,58,64,181,117,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1230.jpg,640,341,gun,89,56,620,206,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1232.jpg,1024,700,pistol,790,193,976,293,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1235.jpg,2560,1440,gun,711,517,1906,985,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1236.jpg,300,168,pistol,46,14,257,162,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1238.jpg,910,593,gun,26,120,680,563,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1240.jpg,623,350,gun,335,92,608,198,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1240.jpg,623,350,gun,35,83,280,184,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1241.jpg,1920,1200,gun,304,545,1759,1139,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1249.jpg,656,592,gun,83,227,129,571,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1250.jpg,800,445,gun,77,123,405,215,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1250.jpg,800,445,gun,346,154,703,230,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1253.jpg,6720,4480,gun,1459,818,5175,2255,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1255.jpg,360,232,pistol,1,1,358,180,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1258.jpg,275,183,pistol,79,58,205,135,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1262.jpg,316,160,gun,4,2,289,90,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1274.jpg,220,144,gun,0,16,218,79,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1274.jpg,220,144,gun,0,84,219,135,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1276.jpg,346,146,gun,2,0,344,138,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W128.jpg,321,157,gun,17,26,276,114,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1280.jpg,259,194,gun,19,50,240,164,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1283.jpg,259,195,gun,10,2,62,168,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1286.jpg,225,225,gun,4,53,219,168,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1287.jpg,347,145,pistol,151,46,200,76,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1288.jpg,305,165,gun,6,32,294,118,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W129.jpg,296,170,pistol,2,74,109,156,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1292.jpg,249,202,gun,9,9,245,87,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1296.jpg,299,168,gun,59,40,282,143,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1297.jpg,284,177,gun,4,49,272,129,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1303.jpg,0,0,gun,11,30,205,85,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1305.jpg,259,194,gun,5,59,253,166,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1308.jpg,300,168,pistol,184,78,234,105,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W131.jpg,800,534,pistol,682,356,725,377,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1311.jpg,480,360,pistol,7,106,284,304,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1312.jpg,259,194,gun,23,82,239,150,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1313.jpg,300,168,gun,30,51,288,142,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1314.jpg,262,193,gun,4,100,256,179,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1315.jpg,225,225,gun,1,76,223,144,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1321.jpg,307,164,gun,13,59,298,144,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1323.jpg,311,162,gun,94,69,239,114,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1323.jpg,311,162,gun,56,23,173,53,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1324.jpg,300,168,gun,16,47,289,130,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1326.jpg,308,163,gun,32,0,277,77,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1326.jpg,308,163,gun,30,85,276,162,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1328.jpg,377,134,gun,3,13,373,127,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1334.jpg,225,225,gun,8,16,217,76,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1334.jpg,225,225,gun,7,152,214,204,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1335.jpg,225,225,gun,48,90,200,135,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1340.jpg,263,192,pistol,54,63,156,106,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1342.jpg,299,168,gun,3,29,291,142,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1344.jpg,277,182,gun,2,38,238,98,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1344.jpg,277,182,gun,19,98,272,163,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1345.jpg,207,243,gun,53,79,200,145,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1347.jpg,225,225,gun,17,55,211,160,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1349.jpg,225,225,gun,2,38,223,130,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1349.jpg,225,225,gun,2,144,224,204,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1352.jpg,259,194,pistol,17,13,237,167,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1354.jpg,225,225,gun,6,158,219,220,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1356.jpg,1200,1200,pistol,176,272,969,789,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1357.jpg,288,175,gun,6,82,241,157,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1358.jpg,224,224,gun,1,40,221,180,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1361.jpg,300,168,gun,180,6,246,164,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1366.jpg,259,194,gun,4,9,256,85,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1366.jpg,259,194,gun,1,101,258,191,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1367.jpg,225,225,gun,44,60,188,106,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1375.jpg,225,225,gun,33,93,191,141,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1379.jpg,458,458,pistol,10,76,438,219,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1380.jpg,225,225,gun,2,87,216,173,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1381.jpg,299,168,gun,3,30,296,141,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1384.jpg,259,195,gun,0,23,257,161,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1388.jpg,299,168,gun,7,20,234,136,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1389.jpg,354,142,pistol,77,42,119,96,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1389.jpg,354,142,pistol,249,40,284,98,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1391.jpg,300,168,gun,26,10,107,34,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1394.jpg,300,168,gun,19,7,284,162,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1395.jpg,259,194,gun,1,59,258,146,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1401.jpg,450,112,gun,31,2,412,112,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1402.jpg,267,189,gun,4,46,265,156,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1403.jpg,275,183,gun,0,11,272,90,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1403.jpg,275,183,gun,1,90,271,168,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1404.jpg,268,188,pistol,9,8,264,179,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1405.jpg,299,168,gun,6,0,295,77,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1405.jpg,299,168,gun,6,89,295,167,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1409.jpg,275,183,pistol,129,70,140,99,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1409.jpg,275,183,pistol,184,67,199,102,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1411.jpg,275,183,gun,28,35,247,160,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1412.jpg,259,194,pistol,9,15,253,175,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1414.jpg,300,168,gun,31,50,266,116,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1417.jpg,275,183,gun,0,31,197,117,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1418.jpg,347,145,pistol,182,40,259,98,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1430.jpg,242,209,pistol,3,26,238,85,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1431.jpg,275,183,gun,7,47,266,127,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1432.jpg,300,168,pistol,39,15,257,155,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1435.jpg,276,183,gun,0,17,275,90,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1438.jpg,268,188,gun,16,61,252,143,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1440.jpg,275,183,pistol,194,60,236,88,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1441.jpg,225,225,gun,13,24,220,120,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1442.jpg,224,224,gun,27,68,203,179,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1451.jpg,299,168,pistol,213,47,264,106,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1452.jpg,286,176,gun,7,62,281,132,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1453.jpg,1200,951,pistol,105,152,1066,824,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1454.jpg,300,168,pistol,4,36,259,159,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1455.jpg,225,225,gun,73,16,171,205,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1458.jpg,224,224,gun,2,71,221,152,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1460.jpg,299,168,gun,4,29,298,118,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1461.jpg,2000,1000,gun,57,277,1945,906,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1465.jpg,600,365,gun,12,178,547,314,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1466.jpg,299,168,pistol,29,2,265,153,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1467.jpg,1280,960,gun,13,311,1277,724,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1468.jpg,458,458,gun,8,18,455,151,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1468.jpg,458,458,gun,4,305,455,438,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1472.jpg,300,168,pistol,59,3,258,107,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1476.jpg,259,194,pistol,13,42,234,163,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1479.jpg,800,533,gun,123,54,766,476,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W148.jpg,480,360,gun,103,143,459,310,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1483.jpg,578,578,gun,15,250,557,327,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1487.jpg,1320,742,gun,88,44,470,138,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1489.jpg,660,350,gun,72,5,593,165,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1489.jpg,660,350,gun,60,184,596,347,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W149.jpg,275,183,pistol,215,50,243,74,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1491.jpg,1024,576,gun,13,159,997,381,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1492.jpg,1000,688,gun,13,259,990,487,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1493.jpg,3000,1500,gun,70,501,2919,1053,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1497.jpg,1260,776,gun,29,277,1234,585,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1501.jpg,640,227,gun,1,30,636,215,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1506.jpg,500,500,gun,0,172,495,322,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1507.jpg,0,0,gun,88,191,1406,536,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1507.jpg,0,0,gun,75,551,1282,899,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1508.jpg,1000,563,gun,22,95,999,513,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1512.jpg,640,640,gun,18,53,609,221,0
